"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"256","East Baton Rouge Parish",22033,"Louisiana",22033,"440,059",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"257","Ascension Parish",22005,"Louisiana",22005,"126,604",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"258","East Feliciana Parish",22037,"Louisiana",22037,"19,135",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"259","Sequoyah County",40135,"Oklahoma",40135,"41,569",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"260","Crawford County",5033,"Arkansas",5033,"63,257",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"261","Le Flore County",40079,"Oklahoma",40079,"49,853",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"262","Franklin County",5047,"Arkansas",5047,"17,715",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"263","Sebastian County",5131,"Arkansas",5131,"127,827",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"264","Logan County",5083,"Arkansas",5083,"21,466",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"265","Scott County",5127,"Arkansas",5127,"10,281",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"266","Haskell County",40061,"Oklahoma",40061,"12,627",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595"
"267","Hidalgo County",48215,"Texas",48215,"868,707",427,"Hidalgo (Mcallen), TX - Starr, TX","933,340"
"268","Starr County",48427,"Texas",48427,"64,633",427,"Hidalgo (Mcallen), TX - Starr, TX","933,340"
"269","Madison Parish",22065,"Louisiana",22065,"10,951",431,"Warren, MS - Madison, LA","65,320"
"270","Claiborne County",28021,"Mississippi",28021,"8,988",431,"Warren, MS - Madison, LA","65,320"
"271","Hood County",48221,"Texas",48221,"61,643",434,"Tarrant (Fort Worth), TX - Johnson, TX","2,491,981"
"272","Johnson County",48251,"Texas",48251,"175,817",434,"Tarrant (Fort Worth), TX - Johnson, TX","2,491,981"
"273","Parker County",48367,"Texas",48367,"142,878",434,"Tarrant (Fort Worth), TX - Johnson, TX","2,491,981"
"274","Tarrant County",48439,"Texas",48439,"2,102,515",434,"Tarrant (Fort Worth), TX - Johnson, TX","2,491,981"
"275","Somervell County",48425,"Texas",48425,"9,128",434,"Tarrant (Fort Worth), TX - Johnson, TX","2,491,981"
"276","Nacogdoches County",48347,"Texas",48347,"65,204",447,"Nacogdoches, TX - Shelby, TX","109,257"
"277","San Augustine County",48405,"Texas",48405,"8,237",447,"Nacogdoches, TX - Shelby, TX","109,257"
"278","Sabine County",48403,"Texas",48403,"10,542",447,"Nacogdoches, TX - Shelby, TX","109,257"
"279","Shelby County",48419,"Texas",48419,"25,274",447,"Nacogdoches, TX - Shelby, TX","109,257"
"280","Catahoula Parish",22025,"Louisiana",22025,"9,494",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"281","Avoyelles Parish",22009,"Louisiana",22009,"40,144",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"282","Grant Parish",22043,"Louisiana",22043,"22,389",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"283","LaSalle Parish",22059,"Louisiana",22059,"14,892",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"284","Allen Parish",22003,"Louisiana",22003,"25,627",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"285","Rapides Parish",22079,"Louisiana",22079,"129,648",450,"Rapides (Alexandria), LA - Avoyelles, LA","242,194"
"286","Foard County",48155,"Texas",48155,"1,155",458,"Wilbarger, TX - Hardeman, TX","17,857"
"287","Wilbarger County",48487,"Texas",48487,"12,769",458,"Wilbarger, TX - Hardeman, TX","17,857"
"288","Hardeman County",48197,"Texas",48197,"3,933",458,"Wilbarger, TX - Hardeman, TX","17,857"
"289","Hemphill County",48211,"Texas",48211,"3,819",460,"Gray, TX - Wheeler, TX","31,615"
"290","Roberts County",48393,"Texas",48393,"854",460,"Gray, TX - Wheeler, TX","31,615"
"291","Wheeler County",48483,"Texas",48483,"5,056",460,"Gray, TX - Wheeler, TX","31,615"
"292","Gray County",48179,"Texas",48179,"21,886",460,"Gray, TX - Wheeler, TX","31,615"
"293","Evangeline Parish",22039,"Louisiana",22039,"33,395",463,"St. Landry, LA - Evangeline, LA","115,519"
"294","St. Landry Parish",22097,"Louisiana",22097,"82,124",463,"St. Landry, LA - Evangeline, LA","115,519"
"295","Grimes County",48185,"Texas",48185,"28,880",464,"Brazos (Bryan), TX - Washington, TX","329,490"
"296","Brazos County",48041,"Texas",48041,"229,211",464,"Brazos (Bryan), TX - Washington, TX","329,490"
"297","Burleson County",48051,"Texas",48051,"18,443",464,"Brazos (Bryan), TX - Washington, TX","329,490"
"298","Robertson County",48395,"Texas",48395,"17,074",464,"Brazos (Bryan), TX - Washington, TX","329,490"
"299","Washington County",48477,"Texas",48477,"35,882",464,"Brazos (Bryan), TX - Washington, TX","329,490"
"300","Lafourche Parish",22057,"Louisiana",22057,"97,614",467,"Terrebonne (Houma), LA - Lafourche, LA","229,966"
"301","Assumption Parish",22007,"Louisiana",22007,"21,891",467,"Terrebonne (Houma), LA - Lafourche, LA","229,966"
"302","Terrebonne Parish",22109,"Louisiana",22109,"110,461",467,"Terrebonne (Houma), LA - Lafourche, LA","229,966"
"303","Coleman County",48083,"Texas",48083,"8,175",468,"Brown, TX - Coleman, TX","56,967"
"304","Mills County",48333,"Texas",48333,"4,873",468,"Brown, TX - Coleman, TX","56,967"
"305","Brown County",48049,"Texas",48049,"37,864",468,"Brown, TX - Coleman, TX","56,967"
"306","San Saba County",48411,"Texas",48411,"6,055",468,"Brown, TX - Coleman, TX","56,967"
"307","Johnston County",40069,"Oklahoma",40069,"11,085",474,"Carter, OK - Marshall, OK","86,380"
"308","Love County",40085,"Oklahoma",40085,"10,253",474,"Carter, OK - Marshall, OK","86,380"
"309","Marshall County",40095,"Oklahoma",40095,"16,931",474,"Carter, OK - Marshall, OK","86,380"
"310","Carter County",40019,"Oklahoma",40019,"48,111",474,"Carter, OK - Marshall, OK","86,380"
"311","Pike County",28113,"Mississippi",28113,"39,288",477,"Pike, MS - Marion, MS","90,444"
"312","Walthall County",28147,"Mississippi",28147,"14,286",477,"Pike, MS - Marion, MS","90,444"
"313","Marion County",28091,"Mississippi",28091,"24,573",477,"Pike, MS - Marion, MS","90,444"
"314","Coal County",40029,"Oklahoma",40029,"5,495",478,"Pontotoc, OK - Seminole, OK","81,316"
"315","Pontotoc County",40123,"Oklahoma",40123,"38,284",478,"Pontotoc, OK - Seminole, OK","81,316"
"316","Hughes County",40063,"Oklahoma",40063,"13,279",478,"Pontotoc, OK - Seminole, OK","81,316"
"317","Seminole County",40133,"Oklahoma",40133,"24,258",478,"Pontotoc, OK - Seminole, OK","81,316"
"318","Floyd County",48153,"Texas",48153,"5,712",481,"Hale, TX - Castro, TX","46,648"
"319","Hale County",48189,"Texas",48189,"33,406",481,"Hale, TX - Castro, TX","46,648"
"320","Castro County",48069,"Texas",48069,"7,530",481,"Hale, TX - Castro, TX","46,648"
"321","Union County",28145,"Mississippi",28145,"28,815",482,"Pontotoc, MS - Union, MS","83,004"
"322","Tippah County",28139,"Mississippi",28139,"22,015",482,"Pontotoc, MS - Union, MS","83,004"
"323","Pontotoc County",28115,"Mississippi",28115,"32,174",482,"Pontotoc, MS - Union, MS","83,004"
"324","Issaquena County",28055,"Mississippi",28055,"1,327",488,"Washington, MS - Sharkey, MS","49,557"
"325","Washington County",28151,"Mississippi",28151,"43,909",488,"Washington, MS - Sharkey, MS","49,557"
"326","Sharkey County",28125,"Mississippi",28125,"4,321",488,"Washington, MS - Sharkey, MS","49,557"
"327","Jefferson County",40067,"Oklahoma",40067,"6,002",497,"Stephens, OK - Jefferson, OK","49,145"
"328","Stephens County",40137,"Oklahoma",40137,"43,143",497,"Stephens, OK - Jefferson, OK","49,145"
"329","Copiah County",28029,"Mississippi",28029,"28,065",511,"Lincoln, MS - Copiah, MS","62,218"
"330","Lincoln County",28085,"Mississippi",28085,"34,153",511,"Lincoln, MS - Copiah, MS","62,218"
"331","Comal County",48091,"Texas",48091,"156,209",517,"Comal, TX","156,209"
"332","Johnson County",5071,"Arkansas",5071,"26,578",522,"Johnson, AR","26,578"
"333","Jim Hogg County",48247,"Texas",48247,"5,200",538,"Webb (Laredo), TX - Zapata, TX","296,031"
"334","Webb County",48479,"Texas",48479,"276,652",538,"Webb (Laredo), TX - Zapata, TX","296,031"
"335","Zapata County",48505,"Texas",48505,"14,179",538,"Webb (Laredo), TX - Zapata, TX","296,031"
"336","St. Francois County",29187,"Missouri",29187,"67,215",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"337","Iron County",29093,"Missouri",29093,"10,125",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"338","Washington County",29221,"Missouri",29221,"24,730",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"339","Franklin County",29071,"Missouri",29071,"103,967",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"340","Jefferson County",29099,"Missouri",29099,"225,081",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"341","Ste. Genevieve County",29186,"Missouri",29186,"17,894",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"342","St. Louis County",29189,"Missouri",29189,"994,205",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"343","St. Louis City",29510,"Missouri",29510,"300,576",541,"St. Louis, MO - St. Louis City, MO","1,743,793"
"344","Lincoln County",46083,"South Dakota",46083,"61,128",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"345","Miner County",46097,"South Dakota",46097,"2,216",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"346","Pipestone County",27117,"Minnesota",27117,"9,126",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"347","Rock County",27133,"Minnesota",27133,"9,315",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"348","Lake County",46079,"South Dakota",46079,"12,797",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"349","McCook County",46087,"South Dakota",46087,"5,586",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"350","Lyon County",19119,"Iowa",19119,"11,755",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"351","Park County",30067,"Montana",30067,"16,606",756,"Park, MT - Sweet Grass, MT","20,343"
"352","Minnehaha County",46099,"South Dakota",46099,"193,134",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"353","Moody County",46101,"South Dakota",46101,"6,576",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"354","Turner County",46125,"South Dakota",46125,"8,384",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"355","Union County",46127,"South Dakota",46127,"15,932",544,"Minnehaha (Sioux Falls), SD - Lincoln, SD","335,949"
"356","Cass County",29037,"Missouri",29037,"105,780",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"357","Daviess County",29061,"Missouri",29061,"8,278",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"358","Johnson County",29101,"Missouri",29101,"54,062",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"359","Platte County",29165,"Missouri",29165,"104,418",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"360","Caldwell County",29025,"Missouri",29025,"9,020",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"361","Lafayette County",29107,"Missouri",29107,"32,708",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"362","Clay County",29047,"Missouri",29047,"249,948",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"363","Clinton County",29049,"Missouri",29049,"20,387",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"364","Jackson County",29095,"Missouri",29095,"703,011",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"365","Ray County",29177,"Missouri",29177,"23,018",548,"Jackson (Kansas City), MO - Clay, MO","1,310,630"
"366","Bremer County",19017,"Iowa",19017,"25,062",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"367","Black Hawk County",19013,"Iowa",19013,"131,228",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"368","Butler County",19023,"Iowa",19023,"14,439",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"369","Buchanan County",19019,"Iowa",19019,"21,175",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"370","Fayette County",19065,"Iowa",19065,"19,650",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"371","Grundy County",19075,"Iowa",19075,"12,232",557,"Black Hawk (Waterloo), IA - Bremer, IA","223,786"
"372","Codington County",46029,"South Dakota",46029,"28,009",568,"Codington, SD - Grant, SD","49,312"
"373","Deuel County",46039,"South Dakota",46039,"4,351",568,"Codington, SD - Grant, SD","49,312"
"374","Hamlin County",46057,"South Dakota",46057,"6,164",568,"Codington, SD - Grant, SD","49,312"
"375","Clark County",46025,"South Dakota",46025,"3,736",568,"Codington, SD - Grant, SD","49,312"
"376","Grant County",46051,"South Dakota",46051,"7,052",568,"Codington, SD - Grant, SD","49,312"
"377","Saline County",20169,"Kansas",20169,"54,224",569,"Saline, KS - Ellsworth, KS","68,992"
"378","Ottawa County",20143,"Kansas",20143,"5,704",569,"Saline, KS - Ellsworth, KS","68,992"
"379","Ellsworth County",20053,"Kansas",20053,"6,102",569,"Saline, KS - Ellsworth, KS","68,992"
"380","Lincoln County",20105,"Kansas",20105,"2,962",569,"Saline, KS - Ellsworth, KS","68,992"
"381","Kearny County",20093,"Kansas",20093,"3,838",575,"Finney, KS - Scott, KS","53,170"
"382","Lane County",20101,"Kansas",20101,"1,535",575,"Finney, KS - Scott, KS","53,170"
"383","Scott County",20171,"Kansas",20171,"4,823",575,"Finney, KS - Scott, KS","53,170"
"384","Hamilton County",20075,"Kansas",20075,"2,539",575,"Finney, KS - Scott, KS","53,170"
"385","Finney County",20055,"Kansas",20055,"36,467",575,"Finney, KS - Scott, KS","53,170"
"386","Haskell County",20081,"Kansas",20081,"3,968",575,"Finney, KS - Scott, KS","53,170"
"387","Pierce County",31139,"Nebraska",31139,"7,148",577,"Madison, NE - Wayne, NE","63,850"
"388","Madison County",31119,"Nebraska",31119,"35,099",577,"Madison, NE - Wayne, NE","63,850"
"389","Wayne County",31179,"Nebraska",31179,"9,385",577,"Madison, NE - Wayne, NE","63,850"
"390","Stanton County",31167,"Nebraska",31167,"5,920",577,"Madison, NE - Wayne, NE","63,850"
"391","Antelope County",31003,"Nebraska",31003,"6,298",577,"Madison, NE - Wayne, NE","63,850"
"392","Grant County",27051,"Minnesota",27051,"5,972",582,"Otter Tail, MN - Grant, MN","64,718"
"393","Otter Tail County",27111,"Minnesota",27111,"58,746",582,"Otter Tail, MN - Grant, MN","64,718"
"394","Van Buren County",19177,"Iowa",19177,"7,044",589,"Wapello, IA - Mahaska, IA","100,356"
"395","Jefferson County",19101,"Iowa",19101,"18,295",589,"Wapello, IA - Mahaska, IA","100,356"
"396","Keokuk County",19107,"Iowa",19107,"10,246",589,"Wapello, IA - Mahaska, IA","100,356"
"397","Mahaska County",19123,"Iowa",19123,"22,095",589,"Wapello, IA - Mahaska, IA","100,356"
"398","Monroe County",19135,"Iowa",19135,"7,707",589,"Wapello, IA - Mahaska, IA","100,356"
"399","Wapello County",19179,"Iowa",19179,"34,969",589,"Wapello, IA - Mahaska, IA","100,356"
"400","Brookings County",46011,"South Dakota",46011,"35,077",610,"Brookings, SD - Kingsbury, SD","40,016"
"401","Kingsbury County",46077,"South Dakota",46077,"4,939",610,"Brookings, SD - Kingsbury, SD","40,016"
"402","Osborne County",20141,"Kansas",20141,"3,421",622,"Mitchell, KS - Osborne, KS","12,279"
"403","Jewell County",20089,"Kansas",20089,"2,879",622,"Mitchell, KS - Osborne, KS","12,279"
"404","Mitchell County",20123,"Kansas",20123,"5,979",622,"Mitchell, KS - Osborne, KS","12,279"
"405","Richardson County",31147,"Nebraska",31147,"7,865",628,"Richardson, NE - Pawnee, NE","10,478"
"406","Pawnee County",31133,"Nebraska",31133,"2,613",628,"Richardson, NE - Pawnee, NE","10,478"
"407","Linn County",20107,"Kansas",20107,"9,703",630,"Crawford, KS - Bourbon, KS","63,055"
"408","Bourbon County",20011,"Kansas",20011,"14,534",630,"Crawford, KS - Bourbon, KS","63,055"
"409","Crawford County",20037,"Kansas",20037,"38,818",630,"Crawford, KS - Bourbon, KS","63,055"
"410","Floyd County",19067,"Iowa",19067,"15,642",634,"Floyd, IA - Chickasaw, IA","27,575"
"411","Chickasaw County",19037,"Iowa",19037,"11,933",634,"Floyd, IA - Chickasaw, IA","27,575"
"412","Cheyenne County",20023,"Kansas",20023,"2,657",636,"Cheyenne, KS - Rawlins, KS","5,187"
"413","Rawlins County",20153,"Kansas",20153,"2,530",636,"Cheyenne, KS - Rawlins, KS","5,187"
"414","Lucas County",19117,"Iowa",19117,"8,600",645,"Lucas, IA - Wayne, IA","15,041"
"415","Wayne County",19185,"Iowa",19185,"6,441",645,"Lucas, IA - Wayne, IA","15,041"
"416","Nance County",31125,"Nebraska",31125,"3,519",651,"Platte, NE - Boone, NE","42,181"
"417","Boone County",31011,"Nebraska",31011,"5,192",651,"Platte, NE - Boone, NE","42,181"
"418","Platte County",31141,"Nebraska",31141,"33,470",651,"Platte, NE - Boone, NE","42,181"
"419","Eddy County",38027,"North Dakota",38027,"2,287",655,"Ramsey, ND - Benson, ND","20,638"
"420","Benson County",38005,"North Dakota",38005,"6,832",655,"Ramsey, ND - Benson, ND","20,638"
"421","Ramsey County",38071,"North Dakota",38071,"11,519",655,"Ramsey, ND - Benson, ND","20,638"
"422","Clay County",20027,"Kansas",20027,"8,002",662,"Clay, KS","8,002"
"423","Grundy County",29079,"Missouri",29079,"9,850",683,"Grundy, MO - Mercer, MO","13,467"
"424","Mercer County",29129,"Missouri",29129,"3,617",683,"Grundy, MO - Mercer, MO","13,467"
"425","Camden County",29029,"Missouri",29029,"46,305",685,"Camden, MO","46,305"
"426","Glacier County",30035,"Montana",30035,"13,753",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"427","Pondera County",30073,"Montana",30073,"5,911",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"428","Cascade County",30013,"Montana",30013,"81,366",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"429","Chouteau County",30015,"Montana",30015,"5,635",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"430","Teton County",30099,"Montana",30099,"6,147",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"431","Toole County",30101,"Montana",30101,"4,736",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"432","Judith Basin County",30045,"Montana",30045,"2,007",692,"Cascade (Great Falls), MT - Glacier, MT","119,555"
"433","Clearwater County",16035,"Idaho",16035,"8,756",694,"Nez Perce, ID - Asotin, WA","94,476"
"434","Nez Perce County",16069,"Idaho",16069,"40,408",694,"Nez Perce, ID - Asotin, WA","94,476"
"435","Garfield County",53023,"Washington",53023,"2,225",694,"Nez Perce, ID - Asotin, WA","94,476"
"436","Lewis County",16061,"Idaho",16061,"3,838",694,"Nez Perce, ID - Asotin, WA","94,476"
"437","Asotin County",53003,"Washington",53003,"22,582",694,"Nez Perce, ID - Asotin, WA","94,476"
